Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Christian McCaffrey,CAR,RB,17,276.8,1193.7,4.3,11,111.6,90.5,750,4,2.5,2.5,16.4,279.37
2,Dalvin Cook,MIN,RB,17,298.5,1384.3,4.6,12.3,69.7,54.3,467.3,2.3,2.7,2.7,15.7,267.36
3,Derrick Henry,TEN,RB,17,334,1613.6,4.8,13.6,23.3,23.4,171.1,2,2.6,2.6,15.7,266.87
4,Nick Chubb,CLE,RB,17,270.6,1364.6,5,11.5,37.9,29.1,244.8,1.6,1.9,1.9,13.9,235.74
5,Alvin Kamara,NO,RB,17,189,883.5,4.7,9,98.9,76.7,689.6,3,1.7,1.7,13.3,225.91
6,Ezekiel Elliott,DAL,RB,17,273.9,1163.4,4.2,9.7,62.9,54.1,424.1,2.3,2.7,2.7,13.3,225.35
7,Jonathan Taylor,IND,RB,17,265.5,1202.6,4.5,10.6,54.1,40.5,311,2,1.9,1.9,13.1,223.16
8,Aaron Jones,GB,RB,17,220.9,1077,4.9,9.6,65.7,51.7,415.2,2.8,2,2,12.9,219.62
9,Saquon Barkley,NYG,RB,17,254.9,1118.8,4.4,9,63.1,54.4,435.1,2.3,2,2,12.9,219.19
10,Najee Harris,PIT,RB,17,253.8,1100.6,4.3,8.4,51.9,47,364.9,2.2,2.3,2.3,12.1,205.55
11,Antonio Gibson,WAS,RB,17,233.1,1049.5,4.5,9.5,61,46.7,367.5,1.7,2.1,2.1,12,204.7
12,Joe Mixon,CIN,RB,17,268.2,1108.9,4.1,7.4,66.9,50.8,377.6,2.5,2,2,12,204.05
13,J.K. Dobbins,BAL,RB,17,211.4,1082,5.1,9.5,47,33.1,255.6,1.3,1.5,1.5,11.5,195.56
14,David Montgomery,CHI,RB,17,247.4,1045,4.2,8.2,49.1,39.1,325.8,1.7,1.9,1.9,11.3,192.68
15,Austin Ekeler,LAC,RB,17,174.9,801.5,4.6,4,113.1,82.8,693,3.7,1.6,1.6,11.3,192.45
16,Clyde Edwards-Helaire,KC,RB,17,220.9,987.1,4.5,6.8,65,50.9,417.4,2.2,1.6,1.6,11.2,191.25
17,Chris Carson,SEA,RB,17,219.7,997.9,4.5,7.2,51.7,41.9,320.2,2.5,2,2,10.9,186.01
18,Josh Jacobs,LV,RB,17,251.6,1053.9,4.2,9.2,37.9,29.9,223.4,1.1,1.9,1.9,10.9,185.73
