Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Todd Gurley II,LAR,RB,16,288,1285,4.5,11,89.76,66,676,3,3,3,17.1,274.1
2,Ezekiel Elliott,DAL,RB,16,319,1407,4.4,11,62.51,47,439,2,2,2,16.2,258.6
3,Le'Veon Bell,PIT,RB,16,296,1252,4.2,8,114.66,78,618,3,2,2,15.6,249
4,David Johnson,ARI,RB,16,289,1106,3.8,9,93.6,72,719,3,3,3,15.5,248.5
5,Leonard Fournette,JAX,RB,16,294,1234,4.2,11,61.74,42,344,1,1,1,14.2,227.8
6,Kareem Hunt,KC,RB,16,256,1183,4.6,9,70.5,50,399,2,2,2,13.8,220.2
7,Alvin Kamara,NO,RB,16,177,824,4.7,7,96.94,74,711,4,1,1,13.6,217.5
8,Melvin Gordon III,LAC,RB,16,270,1069,4,7,81.4,55,458,3,1,1,13.2,210.7
9,Saquon Barkley,NYG,RB,16,250,1075,4.3,7,86.42,58,523,2,2,2,13.1,209.8
10,Dalvin Cook,MIN,RB,16,257,1118,4.4,7,79.92,54,429,2,2,2,12.8,204.7
11,Devonta Freeman,ATL,RB,16,223,959,4.3,8,59.4,44,368,2,2,2,11.8,188.7
12,Jordan Howard,CHI,RB,16,271,1160,4.3,8,39.73,29,191,1,1,1,11.7,187.1
13,Joe Mixon,CIN,RB,16,230,961,4.2,7,59.64,42,355,2,2,2,11.4,181.6
14,Christian McCaffrey,CAR,RB,16,195,708,3.6,4,103.6,74,638,4,1,1,11.3,180.6
15,LeSean McCoy,BUF,RB,16,230,962,4.2,6,65.28,48,365,2,1,1,11.2,178.7
16,Kenyan Drake,MIA,RB,16,205,893,4.4,6,68.08,46,389,1,2,2,10.4,166.2
17,Derrick Henry,TEN,RB,16,217,950,4.4,7,35.76,24,232,1,1,1,10.3,164.2
18,Alex Collins,BAL,RB,16,234,994,4.2,6,42.47,31,248,1,3,3,10,160.2
19,Jay Ajayi,PHI,RB,16,224,992,4.4,6,35.88,26,188,1,2,2,9.8,156
20,Lamar Miller,HOU,RB,16,230,917,4,5,50.04,36,296,1,1,1,9.7,155.3
21,Royce Freeman,DEN,RB,16,213,879,4.1,5,46.4,32,266,1,2,2,9.2,146.5
22,Dion Lewis,TEN,RB,16,160,697,4.4,5,61.92,43,340,2,1,1,9,143.7
23,Carlos Hyde,JAX,RB,16,198,836,4.2,6,37.8,27,184,1,2,2,8.8,140
24,Peyton Barber,TB,RB,16,199,808,4.1,6,32.4,24,190,1,1,1,8.7,139.8
25,Marshawn Lynch,LV,RB,16,202,818,4,6,31.97,23,178,1,1,1,8.7,139.6
26,Mark Ingram II,NO,RB,16,176,761,4.3,6,47.6,35,251,1,2,2,8.7,139.2
27,Tevin Coleman,ATL,RB,16,157,645,4.1,5,44.22,33,323,2,1,1,8.6,136.8
28,Jamaal Williams,GB,RB,16,164,676,4.1,5,41.23,31,263,2,1,1,8.4,133.9
29,Rex Burkhead,NE,RB,16,137,569,4.2,5,54.72,38,333,2,1,1,8.1,130.2
30,Isaiah Crowell,NYJ,RB,16,188,729,3.9,4,42.63,29,202,1,1,1,7.6,121.1
31,Alfred Morris,SF,RB,16,188,813,4.3,5,17.42,13,95,0,1,1,7.4,118.8
32,Kerryon Johnson,DET,RB,16,171,685,4,4,34.84,26,216,1,1,1,7.4,118.1
33,Matt Breida,SF,RB,16,132,584,4.4,3,51.43,37,310,2,1,1,7.3,117.4
34,Chris Carson,SEA,RB,16,164,693,4.2,4,34.27,23,186,1,1,1,7.2,115.9
35,Marlon Mack,IND,RB,16,130,533,4.1,4,42.05,29,284,2,1,1,7.2,115.7
36,Rashaad Penny,SEA,RB,16,165,644,3.9,4,34.84,26,209,1,1,1,7.1,113.3
37,Adrian Peterson,WAS,RB,16,187,747,4,6,15.6,12,97,0,4,4,7,112.4
38,Chris Thompson,WAS,RB,16,89,382,4.3,2,68.5,50,451,3,2,2,6.8,109.3
39,Sony Michel,NE,RB,16,146,567,3.9,5,34.25,25,182,1,1,1,6.8,108.9
40,Bilal Powell,NYJ,RB,16,138,595,4.3,3,46.4,32,231,1,1,1,6.5,104.6
41,Tarik Cohen,CHI,RB,16,91,381,4.2,2,78.09,57,427,2,1,1,6.4,102.8
42,Giovani Bernard,CIN,RB,16,102,423,4.1,2,54.94,41,355,2,1,1,6.2,99.8
43,Duke Johnson,CLE,RB,16,67,267,4,2,74.8,55,503,2,1,1,6.2,99
44,Aaron Jones,GB,RB,16,136,618,4.5,4,16.32,12,90,1,1,1,6.2,98.8
45,CJ Anderson,CAR,RB,16,141,571,4,4,21.15,15,122,1,1,1,6.1,97.3
46,Latavius Murray,MIN,RB,16,127,501,3.9,5,23.94,18,124,1,1,1,6,96.5
47,James White,NE,RB,16,64,249,3.9,2,79.75,55,420,3,1,1,5.9,94.9
48,Corey Clement,PHI,RB,16,100,384,3.8,3,39.3,30,276,2,1,1,5.9,94
49,Ronald Jones II,TB,RB,16,149,561,3.8,3,26.98,19,149,1,1,1,5.8,93
50,Nick Chubb,CLE,RB,16,128,541,4.2,4,18.72,13,92,1,1,1,5.7,91.3
51,Devontae Booker,DEN,RB,16,123,445,3.6,2,48.96,34,276,1,1,1,5.5,88.1
52,Jordan Wilkins,IND,RB,16,133,470,3.5,4,22.95,17,127,1,1,1,5.5,87.7
53,Ty Montgomery,GB,RB,16,75,312,4.2,2,58.96,44,331,2,1,1,5.4,86.3
54,LeGarrette Blount,DET,RB,16,133,530,4,5,11.12,8,47,0,1,1,5.4,85.7
55,Austin Ekeler,LAC,RB,16,83,340,4.1,2,40.02,29,260,2,2,2,5,80
56,T.J. Yeldon,JAX,RB,16,84,331,3.9,2,53.28,36,279,1,1,1,4.8,77
57,Frank Gore,MIA,RB,16,112,438,3.9,2,33.5,25,169,1,1,1,4.8,76.7
58,Chris Ivory,BUF,RB,16,120,427,3.6,3,22.88,16,113,1,1,1,4.8,76
59,Theo Riddick,DET,RB,16,50,190,3.8,1,74,50,391,2,1,1,4.6,74.1
60,Doug Martin,LV,RB,16,128,481,3.8,3,18.98,13,98,0,1,1,4.6,73.9
61,Javorius Allen,BAL,RB,16,93,359,3.9,2,42.78,31,198,1,1,1,4.5,71.7
62,Jeremy Hill,NE,RB,16,84,350,4.2,4,13,10,69,1,1,1,4.4,69.9
63,D'Onta Foreman,HOU,RB,16,104,400,3.8,2,17.68,13,98,1,1,1,4.1,65.8
64,Spencer Ware,KC,RB,16,74,293,4,3,25.02,18,132,1,1,1,4,64.5
65,Darren Sproles,PHI,RB,16,57,245,4.3,2,44.64,31,236,1,1,1,4,64.1
66,Kenneth Dixon,BAL,RB,16,71,294,4.1,2,31.92,24,186,1,1,1,4,64
67,Nyheim Hines,IND,RB,16,76,279,3.7,1,39.15,29,254,1,1,1,4,63.3
68,Rod Smith,DAL,RB,16,65,271,4.2,2,24.7,19,183,1,1,1,3.8,61.4
69,Wayne Gallman II,NYG,RB,16,66,262,4,1,37.44,26,190,1,1,1,3.4,55.2
70,Jonathan Stewart,NYG,RB,16,93,348,3.7,3,8.34,6,34,0,1,1,3.4,54.2
71,James Conner,PIT,RB,16,86,336,3.9,2,17.76,12,79,0,0,0,3.3,53.5
72,Jalen Richard,LV,RB,16,51,207,4.1,1,36.75,25,191,1,1,1,3.1,49.8
73,Corey Grant,JAX,RB,16,74,321,4.3,2,13.23,9,72,0,1,1,3.1,49.3
74,C.J. Prosise,SEA,RB,16,42,138,3.3,1,31.44,24,195,1,1,1,2.7,43.3
75,Boston Scott,NO,RB,16,46,175,3.8,2,15.62,11,74,1,0,0,2.7,42.9
76,Chase Edmonds,ARI,RB,16,63,230,3.7,2,19.24,13,96,0,1,1,2.7,42.6
77,Cordarrelle Patterson,NE,RB,16,14,77,5.5,0,39.78,26,275,1,0,0,2.6,41.2
78,John Kelly,LAR,RB,16,58,228,3.9,2,11.6,8,60,0,0,0,2.6,40.8
79,Alfred Blue,HOU,RB,16,53,242,4.6,2,9.45,7,59,0,1,1,2.5,40.1
80,Ameer Abdullah,DET,RB,16,53,175,3.3,2,16.32,12,98,0,0,0,2.5,39.3
81,Rob Kelley,WAS,RB,16,73,248,3.4,2,11.92,8,44,0,1,1,2.4,39.2
82,Kyle Juszczyk,SF,FB,16,10,33,3.3,0,47.95,35,322,1,2,2,2.3,37.5
83,DeAndre Washington,LV,RB,16,37,145,3.9,1,22.78,17,108,1,0,0,2.3,37.3
84,Jacquizz Rodgers,TB,RB,16,51,178,3.5,1,25.02,18,117,0,0,0,2.2,35.5
85,Samaje Perine,WAS,RB,16,50,199,4,2,10.64,8,46,0,1,1,2.2,34.5
86,Elijah McGuire,NYJ,RB,16,42,136,3.2,1,17.4,12,99,1,1,1,2.1,33.5
87,Kalen Ballage,MIA,RB,16,48,197,4.1,1,17.55,13,93,0,1,1,2.1,33
88,Phillip Lindsay,DEN,RB,16,46,175,3.8,1,19.8,15,101,0,1,1,2,31.6
89,T.J. Logan,ARI,RB,16,32,124,3.9,1,8.4,6,46,1,0,0,1.8,29
90,Marcus Murphy,BUF,RB,16,51,178,3.5,1,14.74,11,59,0,1,1,1.7,27.7
91,Ito Smith,ATL,RB,16,25,100,4,1,8.4,6,45,1,0,0,1.7,26.5
92,Detrez Newsome,LAC,RB,16,25,141,5.6,1,5.72,4,55,0,0,0,1.6,25.6
92,Malcolm Brown,LAR,RB,16,44,171,3.9,1,11.36,8,45,0,1,1,1.6,25.6
94,Cameron Artis-Payne,CAR,RB,16,46,166,3.6,1,5.56,4,25,0,0,0,1.6,25.1
95,Robert Turbin,IND,RB,16,36,129,3.6,1,10.56,8,58,0,0,0,1.5,24.7
96,Mark Walton,CIN,RB,16,31,141,4.5,1,7.3,5,58,0,1,1,1.5,23.9
97,Mike Boone,MIN,RB,16,7,104,14.9,1,2.7,2,63,0,0,0,1.4,22.7
98,Raheem Mostert,SF,RB,16,47,153,3.3,1,10.88,8,50,0,2,2,1.4,22.3
99,Mike Davis,SEA,RB,16,31,104,3.4,1,10.36,7,66,0,1,1,1.3,21
100,Damien Williams,KC,RB,16,16,71,4.4,0,15.84,11,74,1,0,0,1.3,20.5
101,Jaylen Samuels,PIT,RB,16,19,96,5.1,1,5.28,4,45,0,0,0,1.3,20.1
102,Trenton Cannon,NYJ,RB,16,14,89,6.4,1,5.28,4,45,0,0,0,1.2,19.4
103,Dwayne Washington,NO,RB,16,51,130,2.5,0,11.6,8,51,0,0,0,1.1,18.1
104,Nick Bellore,DET,FB,16,0,0,0,0,0,0,0,0,0,0,1.1,17.66
105,J.D. McKissic,SEA,RB,16,15,67,4.5,0,11.6,8,96,0,0,0,1,16.3
106,Bo Scarbrough,JAX,RB,16,19,72,3.8,1,0,0,0,0,0,0,0.8,13.2
107,Benjamin Cunningham,CHI,RB,16,9,29,3.2,0,10.72,8,100,0,0,0,0.8,12.9
108,Kapri Bibbs,WAS,RB,16,5,26,5.2,0,3.99,3,42,1,0,0,0.8,12.8
109,Tommy Bohanon,JAX,FB,16,5,13,2.6,1,6.65,5,48,0,0,0,0.8,12.1
110,Paul Perkins,NYG,RB,16,29,101,3.5,0,1.45,1,7,0,0,0,0.7,10.8
111,Wendell Smallwood,PHI,RB,16,25,90,3.6,0,7.45,5,36,0,1,1,0.7,10.6
112,Tyler Ervin,HOU,RB,16,13,51,3.9,0,8.76,6,46,0,0,0,0.6,9.7
113,Ricky Ortiz,ATL,FB,16,7.75,31,3.9,0,0,0,56,0,0,0,0.5,8.7
114,Alex Armah,CAR,FB,16,14,44,3.1,0,8.28,6,40,0,0,0,0.5,8.4
115,Brandon Wilds,ARI,RB,16,23,59,2.6,0,2.88,2,15,0,0,0,0.5,7.4
116,Anthony Sherman,KC,FB,16,6,26,4.3,0,7.1,5,32,0,0,0,0.4,5.8
117,Patrick DiMarco,BUF,FB,16,3,6,2,0,6.8,5,51,0,0,0,0.4,5.7
118,Shaun Wilson,TB,RB,16,10,38,3.8,0,2.92,2,17,0,0,0,0.3,5.5
118,Derek Watt,LAC,FB,16,7,22,3.1,0,5.56,4,33,0,0,0,0.3,5.5
120,Jamize Olawale,DAL,FB,16,6,22,3.7,0,5.88,4,31,0,0,0,0.3,5.3
