Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Christian McCaffrey,CAR,RB,16,248,1218,4.9,13,126,108,887,4,2,0,19.5,312.5
2,Saquon Barkley,NYG,RB,16,245,1174,4.8,10,79,61,494,3,1,0,15.3,244.8
3,Ezekiel Elliott,DAL,RB,16,302,1357,4.5,10,74,55,429,2,5,3,15.3,244.6
4,Dalvin Cook,MIN,RB,15,261,1124,4.3,11,70,58,548,1,5,3,15.5,233.2
5,Derrick Henry,TEN,RB,16,302,1428,4.7,13,25,19,176,0,5,3,14.5,232.4
6,Joe Mixon,CIN,RB,16,288,1273,4.4,8,61,50,377,2,2,1,13.9,223
7,Alvin Kamara,NO,RB,16,190,878,4.6,8,98,79,721,3,4,2,13.9,221.9
8,Clyde Edwards-Helaire,KC,RB,16,235,1111,4.7,8,61,47,442,3,2,1,13.7,219.3
9,Josh Jacobs,LV,RB,16,267,1177,4.4,10,42,30,356,1,3,1,13.6,217.3
10,Nick Chubb,CLE,RB,16,276,1307,4.7,9,40,28,222,1,3,2,13.1,208.9
11,Miles Sanders,PHI,RB,16,243,1128,4.6,7,72,50,430,2,3,2,12.9,205.8
12,Aaron Jones,GB,RB,16,223,1071,4.8,9,55,42,395,1,3,2,12.7,202.6
13,Kenyan Drake,ARI,RB,16,228,1002,4.4,9,55,41,304,2,3,2,12,192.6
14,Chris Carson,SEA,RB,16,250,1134,4.5,7,55,42,322,2,7,4,12,191.6
15,Austin Ekeler,LAC,RB,16,155,617,4,4,103,78,722,5,3,1,11.6,185.9
16,David Johnson,HOU,RB,16,252,983,3.9,6,49,37,340,3,3,1,11.5,184.3
17,Le'Veon Bell,NYJ,RB,15,241,918,3.8,6,76,62,437,2,3,1,12.1,181.5
18,Todd Gurley II,ATL,RB,15,218,916,4.2,8,56,42,332,2,3,2,12.1,180.8
18,James Conner,PIT,RB,14,203,912,4.5,8,50,37,336,2,3,2,12.9,180.8
20,Raheem Mostert,SF,RB,16,205,1016,5,8,33,24,210,2,3,2,11.2,178.6
21,Melvin Gordon III,DEN,RB,16,202,869,4.3,8,51,40,311,2,4,2,10.9,174
22,David Montgomery,CHI,RB,15,257,1012,3.9,7,39,28,221,1,2,1,11.3,169.3
23,Jonathan Taylor,IND,RB,16,195,979,5,7,34,27,234,1,2,1,10.5,167.3
24,Leonard Fournette,TB,RB,16,199,908,4.6,9,28,20,190,1,4,2,10.4,165.8
25,Devin Singletary,BUF,RB,16,197,876,4.4,4,56,44,339,2,4,2,9.6,153.5
26,Cam Akers,LAR,RB,16,200,843,4.2,6,24,19,287,1,3,1,9.6,153
27,Mark Ingram II,BAL,RB,16,178,848,4.8,6,34,25,219,2,2,2,9.4,150.7
28,Matt Breida,MIA,RB,15,159,797,5,4,52,35,275,2,3,1,9.4,141.2
29,J.K. Dobbins,BAL,RB,16,174,838,4.8,5,31,23,211,1,1,1,8.7,138.9
30,D'Andre Swift,DET,RB,16,207,836,4,4,37,26,251,1,2,1,8.5,136.7
31,Kareem Hunt,CLE,RB,16,99,467,4.7,4,74,59,465,3,1,0,8.4,135.2
32,Jordan Howard,MIA,RB,16,202,849,4.2,6,20,14,96,0,1,1,8,128.5
33,Tevin Coleman,SF,RB,15,170,752,4.4,5,31,21,182,1,2,1,8.5,127.4
34,James White,NE,RB,16,69,272,3.9,2,102,78,701,2,1,0,7.6,121.3
35,Latavius Murray,NO,RB,16,155,686,4.4,6,36,24,181,0,2,1,7.5,120.7
36,Sony Michel,NE,RB,15,131,768,5.9,6,10,6,50,0,2,1,7.7,115.8
37,Ryquell Armstead,JAX,RB,16,164,610,3.7,6,21,27,189,0,3,2,7,111.9
38,Phillip Lindsay,DEN,RB,16,141,631,4.5,4,32,23,173,1,1,0,6.9,110.4
39,Justin Jackson,LAC,RB,16,138,664,4.8,5,17,11,84,0,1,0,6.6,104.8
40,Tarik Cohen,CHI,RB,16,55,208,3.8,2,93,73,521,3,2,1,6.3,100.9
41,Antonio Gibson,WAS,RB,16,75,316,4.2,3,65,46,392,2,1,0,6.3,100.8
42,Ronald Jones II,TB,RB,16,110,490,4.5,3,33,25,220,2,2,2,6.1,97
43,Darrell Henderson Jr.,LAR,RB,16,110,442,4,3,46,32,226,2,2,1,5.9,94.8
44,Kerryon Johnson,DET,RB,12,117,490,4.2,3,29,20,175,2,2,1,7.9,94.5
45,Zack Moss,BUF,RB,16,141,549,3.9,5,15,11,92,0,1,0,5.9,94.1
46,Marlon Mack,IND,RB,14,117,511,4.4,5,15,11,80,1,2,1,6.6,93.1
47,Boston Scott,PHI,RB,16,99,437,4.4,3,41,30,255,1,3,1,5.7,91.2
48,Duke Johnson,HOU,RB,16,77,363,4.7,1,55,41,385,2,1,1,5.7,90.8
49,Nyheim Hines,IND,RB,16,38,153,4,2,76,60,443,2,1,0,5.2,83.6
50,Darrynton Evans,TEN,RB,16,65,267,4.1,2,59,40,328,2,2,1,5.1,81.5
51,Alexander Mattison,MIN,RB,16,119,544,4.6,2,15,11,90,1,0,0,5.1,81.4
52,Benny Snell Jr.,PIT,RB,16,89,358,4,2,38,29,261,1,1,0,5,79.9
53,Frank Gore,NYJ,RB,16,144,508,3.5,2,16,12,104,1,0,0,5,79.2
53,Chris Thompson,JAX,RB,16,93,402,4.3,1,62,42,310,1,2,2,5,79.2
55,Jalen Richard,LV,RB,16,60,247,4.1,2,54,40,342,1,0,0,4.8,76.9
55,Darrel Williams,KC,RB,0,95,323,3.4,4,29,21,206,0,0,0,0,76.9
57,Devine Ozigbo,JAX,RB,16,122,435,3.6,2,30.8,22,171,1,1,1,4.8,76.6
58,Bryce Love,WAS,RB,16,108,390,3.6,3,22.27,17,140,1,1,1,4.7,75
59,Jerick McKinnon,SF,RB,16,35,287,8.2,2,35,26,222,2,1,0,4.7,74.9
60,Jamaal Williams,GB,RB,16,90,351,3.9,1,36,28,197,2,1,0,4.6,72.8
61,Carlos Hyde,SEA,RB,16,134,522,3.9,3,13,9,65,0,3,2,4.5,72.7
