Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
62,Damien Harris,NE,RB,16,128,407,3.2,4,16.28,11,89,0,1,1,4.5,71.6
63,Tony Pollard,DAL,RB,16,81,408,5,2,25,18,186,0,1,0,4.5,71.4
64,A.J. Dillon,GB,RB,16,86,359,4.2,5,11,7,55,0,2,1,4.3,69.4
65,Adrian Peterson,DET,RB,16,111,460,4.1,3,10.4,8,65,0,1,1,4.3,68.5
66,Rex Burkhead,NE,RB,16,53,236,4.5,2,31.68,22,198,1,1,1,3.7,59.4
67,Anthony McFarland Jr.,PIT,RB,16,64,334,5.2,3,11,7,68,0,2,1,3.5,56.2
68,Giovani Bernard,CIN,RB,16,55,204,3.7,2,44,30,195,1,1,1,3.5,55.9
69,Malcolm Brown,LAR,RB,16,81,292,3.6,4,10,6,41,0,1,1,3.5,55.3
70,Joshua Kelley,LAC,RB,16,77,321,4.2,2,20,14,106,0,1,0,3.4,54.7
71,Peyton Barber,WAS,RB,13,95,352,3.7,2,19,12,88,0,1,1,4.2,54
72,Chase Edmonds,ARI,RB,16,52,302,5.8,1,18,13,111,1,2,0,3.3,53.3
73,Ito Smith,ATL,RB,14,71,279,3.9,1,22,16,108,1,1,0,3.6,50.7
74,LeSean McCoy,TB,RB,0,57,241,4.2,2,23.12,17,123,0,0,0,0,48.4
75,James Robinson,JAX,RB,16,68,278,4.1,2,15.18,11,81,0,1,1,2.9,45.9
76,La'Mical Perine,NYJ,RB,16,44,198,4.5,1,20,14,149,1,1,1,2.8,44.7
77,Gus Edwards,BAL,RB,16,72,329,4.6,1,7,5,43,0,1,0,2.7,43.2
78,Royce Freeman,DEN,RB,16,48,235,4.9,2,13,9,65,0,0,0,2.6,42
79,Mike Davis,CAR,RB,16,65,221,3.4,2,19.24,13,93,0,1,1,2.6,41.4
80,Eno Benjamin,ARI,RB,16,75,309,4.1,1,11,7,61,0,1,1,2.6,41
81,Ke'Shawn Vaughn,TB,RB,16,24,110,4.6,1,35,29,258,0,1,1,2.6,40.8
82,Ty Montgomery,NO,RB,16,35,103,2.9,2,20,14,95,1,0,0,2.4,37.8
83,J.D. McKissic,WAS,RB,16,38,153,4,0,31.9,22,164,1,1,1,2.2,35.7
83,Rashaad Penny,SEA,RB,8,61,265,4.3,1,12,8,52,0,2,1,4.5,35.7
85,Brian Hill,ATL,RB,16,50,203,4.1,1,16,11,89,0,0,0,2.2,35.2
86,Dion Lewis,NYG,RB,16,48,188,3.9,0,30,19,114,1,1,1,2.1,34.2
87,Darwin Thompson,KC,RB,16,40,175,4.4,1,19,12,101,0,0,0,2.1,33.6
88,Mike Boone,MIN,RB,16,50,230,4.6,1,8.1,6,44,0,0,0,2.1,33.4
89,Ty Johnson,DET,RB,16,31,279,9,0,8,5,37,0,0,0,2,31.6
90,Reggie Bonnafon,CAR,RB,16,28,140,5,1,17,12,113,0,1,0,2,31.3
91,DeeJay Dallas,SEA,RB,16,38,144,3.8,1,20.02,14,127,0,1,1,1.9,31.1
92,Kyle Juszczyk,SF,FB,16,6,16,2.7,0,34.25,25,251,1,1,1,1.9,30.7
93,Salvon Ahmed,MIA,RB,null,33,136,4.1,2,6.55,5,39,0,0,0,0,29.5
94,Jason Huntley,PHI,RB,16,27,125,4.6,0,18.85,13,169,0,0,0,1.8,29.4
95,Justice Hill,BAL,RB,16,38,167,4.4,1,12.06,9,80,0,1,1,1.8,28.7
96,Jaylen Samuels,PIT,RB,16,33,96,2.9,1,21.12,16,117,0,0,0,1.7,27.3
97,Rod Smith,NYG,RB,16,24,83,3.5,1,13,10,69,1,0,0,1.7,27.2
98,Ryan Nall,CHI,RB,16,37,140,3.8,1,12,8,62,0,0,0,1.6,26.2
99,Corey Clement,PHI,RB,16,41,154,3.8,1,13.1,10,64,0,1,1,1.6,25.8
99,Sewo Olonilua,DAL,FB,null,36,144,4,1,13.32,9,54,0,0,0,0,25.8
101,Bo Scarbrough,DET,RB,16,38,191,5,1,4.2,3,26,0,1,1,1.6,25.7
102,Devontae Booker,LV,RB,16,28,119,4.2,1,12.96,9,76,0,0,0,1.6,25.5
103,Andy Janovich,CLE,FB,16,6,29,4.8,1,14.9,10,105,1,0,0,1.6,25.4
104,Patrick Laird,MIA,RB,16,31,99,3.2,0,24,19,154,0,0,0,1.6,25.3
105,DeAndre Washington,KC,RB,16,27,105,3.9,1,13.4,10,82,0,0,0,1.5,24.7
106,Myles Gaskin,MIA,RB,16,29,121,4.2,1,12.51,9,63,0,0,0,1.5,24.4
107,Cordarrelle Patterson,CHI,RB,16,18,116,6.4,1,15,10,87,0,1,1,1.5,24.3
108,Qadree Ollison,ATL,RB,16,30,98,3.3,2,2.76,2,17,0,0,0,1.5,23.5
109,Jordan Wilkins,IND,RB,16,26,128,4.9,1,5.4,4,31,0,0,0,1.4,21.9
110,Jeff Wilson Jr.,SF,RB,16,29,109,3.8,1,4.08,3,20,0,0,0,1.2,18.9
111,JaMycal Hasty,SF,RB,null,35,104,3,1,4.08,3,23,0,0,0,0,18.7
112,Travis Homer,SEA,RB,16,15,56,3.7,1,10.96,8,56,0,0,0,1.1,17.2
113,Chandler Cox,MIA,FB,16,15,43,2.9,0,14.2,10,68,1,0,0,1.1,17.1
114,T.J. Yeldon,BUF,RB,16,15,73,4.9,0,16.28,11,94,0,0,0,1,16.7
115,C.J. Ham,MIN,FB,16,8,30,3.8,0,22,15,132,0,0,0,1,16.2
116,Dare Ogunbowale,JAX,RB,16,8,29,3.6,0,18.98,13,108,0,0,0,0.9,13.7
116,Wayne Gallman II,NYG,RB,16,24,89,3.7,0,8.64,6,48,0,0,0,0.9,13.7
118,Dontrell Hilliard,CLE,RB,16,7,27,3.9,1,7.4,5,45,0,0,0,0.8,13.2
119,Ameer Abdullah,MIN,RB,16,9,53,5.9,0,10.88,8,78,0,0,0,0.8,13.1
120,Mike Warren II,PHI,RB,16,11,44,4,1,0,0,0,0,0,0,0.6,10.4
121,Jamize Olawale,DAL,FB,16,9,32,3.6,1,0,0,0,0,0,0,0.6,9.2
122,D'Ernest Johnson,CLE,RB,16,11,48,4.4,0,5.56,4,41,0,0,0,0.6,8.9
123,Alex Armah,CAR,FB,16,8,20,2.5,1,2.76,2,8,0,0,0,0.6,8.8
123,Trayveon Williams,CIN,RB,16,23,65,2.8,0,4.14,3,23,0,0,0,0.6,8.8
125,Tyler Ervin,GB,RB,16,7,29,4.1,0,11.68,8,54,0,0,0,0.5,8.3
126,Alec Ingold,LV,FB,16,6,36,6,0,7.86,6,43,0,0,0,0.5,7.9
127,Trenton Cannon,CAR,RB,16,2,37,18.5,0,5.28,4,32,0,0,0,0.4,6.9
127,Artavis Pierce,CHI,RB,16,10,38,3.8,0,4.29,3,31,0,0,0,0.4,6.9
127,Elijah McGuire,DAL,RB,16,13,41,3.2,0,4.35,3,28,0,0,0,0.4,6.9
130,Elijhaa Penny,NYG,RB,16,1,45,45,0,5.76,4,23,0,0,0,0.4,6.8
131,Josh Adams,NYJ,RB,16,16,55,3.4,0,1.38,1,12,0,0,0,0.4,6.7
132,Buddy Howell,HOU,RB,16,16,45,2.8,0,4.11,3,20,0,0,0,0.4,6.5
133,Wendell Smallwood,PIT,RB,0,6,25,4.2,0,7.45,5,38,0,0,0,0,6.3
134,Kerrith Whyte,DET,RB,16,10,41,4.1,0,4.05,3,17,0,0,0,0.4,5.8
135,J.J. Taylor,NE,RB,null,6,24,4,0,7.4,5,28,0,0,0,0,5.2
135,Khari Blasingame,TEN,RB,16,2,5,2.5,0,8.52,6,47,0,0,0,0.3,5.2
137,Raymond Calais,LAR,RB,16,11,51,4.6,0,0,0,0,0,0,0,0.3,5.1
138,Keith Smith,ATL,FB,16,6,23,3.8,0,6.5,5,26,0,0,0,0.3,4.9
139,Theo Riddick,LV,RB,0,3,10,3.3,0,5.92,4,35,0,0,0,0,4.5
140,Patrick Ricard,BAL,FB,16,1,2,2,0,8.94,6,41,0,0,0,0.3,4.3
141,Taiwan Jones,BUF,RB,16,1,4,4,0,3.99,3,36,0,0,0,0.2,4
142,Derek Watt,PIT,FB,16,4,14,3.5,0,5.56,4,25,0,0,0,0.2,3.9
142,Tony Jones Jr.,NO,RB,null,5.5,22,3.7,0,2.6,2,17,0,0,0,0,3.9
144,John Kelly,CLE,RB,16,8,27,3.4,0,1.45,1,10,0,0,0,0.2,3.7
145,Xavier Jones,LAR,RB,16,6.25,25,4.2,0,2.98,2,10,0,0,0,0.2,3.5
146,Anthony Sherman,KC,FB,16,3,5,1.7,0,5.68,4,29,0,0,0,0.2,3.4
147,Kenjon Barner,TB,RB,0,4,23,5.8,0,4.35,3,9,0,0,0,0,3.2
148,Dwayne Washington,NO,RB,16,6,24,4,0,1.45,1,6,0,0,0,0.2,3
149,Levante Bellamy,DEN,RB,16,5,20,4,0,1.42,1,7,0,0,0,0.2,2.7
150,Samaje Perine,CIN,RB,16,6,22,3.7,0,1.33,1,3,0,0,0,0.2,2.5
151,Nick Bellore,SEA,FB,16,1,2,2,0,4.47,3,22,0,0,0,0.2,2.4
152,Nathan Cottrell,JAX,RB,null,6,23,3.8,0,0,0,0,0,0,0,0,2.3
153,Senorise Perry,TEN,RB,16,4,16,4,0,1.48,1,5,0,0,0,0.1,2.1
154,Trey Edmunds,PIT,RB,16,3,14,4.7,0,1.44,1,6,0,0,0,0.1,2
154,Dexter Williams,GB,RB,16,5,15,3,0,1.35,1,5,0,0,0,0.1,2
154,Jakob Johnson,NE,FB,16,1,6,6,0,2.96,2,14,0,0,0,0.1,2
157,Michael Burton,NO,FB,16,2,6,3,0,2.72,2,8,0,0,0,0.1,1.4
158,Cullen Gillaspia,HOU,FB,16,2,6,3,0,1.39,1,6,0,0,0,0.1,1.2
159,D.J. Foster,ARI,RB,16,2,6,3,0,1.41,1,5,0,0,0,0.1,1.1
160,Bilal Powell,NYJ,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Lamar Miller,NE,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Spencer Ware,KC,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Marshawn Lynch,SEA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Jeremy Hill,LV,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
160,Brandon Bolden,NE,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,James Develin,NE,FB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Patrick DiMarco,BUF,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,C.J. Prosise,SEA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,David Fluellen,TEN,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Isaiah Crowell,LV,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Zach Line,NO,FB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Roosevelt Nix,IND,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Danny Vitale,NE,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Damien Williams,KC,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Darius Jackson,IND,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Kenneth Dixon,NYJ,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Tra Carson,DET,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Marcus Murphy,CAR,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Jordan Chunn,DAL,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Ricky Ortiz,NO,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Troymaine Pope,LAC,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Jeremy McNichols,TEN,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Jalin Moore,NYJ,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Derrius Guice,WAS,RB,13,0,0,0,0,0,0,0,0,0,0,0,0
160,Wes Hills,DET,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Dalyn Dawkins,TEN,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Rodney Anderson,CIN,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Devante Mays,JAX,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Kalen Ballage,MIA,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Tony Brooks-James,MIN,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Taquan Mizzell,NO,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Jordan Scarlett,CAR,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Khalfani Muhammad,DEN,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Damarea Crockett,GB,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Connor Slomka,JAX,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
160,Nick Bawden,DET,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Darius Anderson,IND,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Brian Herrien,CLE,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Benny LeMay,CLE,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
160,Patrick Taylor,GB,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Jonathan Williams,IND,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,De'Lance Turner,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Karan Higdon Jr.,HOU,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Mike Weber,KC,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Jacques Patrick,CIN,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Jon Hilliman,NYG,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,T.J. Logan,TB,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Craig Reynolds,ATL,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Rodney Smith,CAR,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Scottie Phillips,HOU,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Tavien Feaster,NYG,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Javon Leake,NYG,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
160,Elijah Wellman,GB,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Bruce Anderson III,IND,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Josh Ferguson,WAS,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Christian Wade,BUF,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Bobby Holly,LAC,FB,null,0,0,0,0,0,0,0,0,0,0,0,0
160,Darrin Hall,PIT,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Rico Dowdle,DAL,RB,16,4,0,0,0,0,0,0,0,0,0,0,0
160,Shaun Wilson,TEN,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
160,Adrian Killins Jr.,PHI,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
222,Elijah Holyfield,PHI,RB,16,1,0,0,0,0,0,0,0,1,1,-0.1,-2
