Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Saquon Barkley,NYG,RB,16,270,1265,4.7,10,122.18,82,650,3,2,2,16.6,265.5
2,Christian McCaffrey,CAR,RB,16,209,975,4.7,7,131.6,94,804,5,1,1,15.5,247.9
3,Alvin Kamara,NO,RB,16,194,885,4.6,9,112.66,86,754,4,1,1,15,239.9
4,Ezekiel Elliott,DAL,RB,16,268,1181,4.4,7,85.12,64,492,3,2,2,14,223.3
5,James Conner,PIT,RB,16,250,1092,4.4,9,75.48,51,448,2,2,2,13.5,216
6,Le'Veon Bell,NYJ,RB,16,246,1045,4.2,7,91.14,62,512,3,2,2,13.2,211.7
7,Dalvin Cook,MIN,RB,16,247,1129,4.6,7,76.96,52,406,3,2,2,13.1,209.5
8,David Johnson,ARI,RB,16,257,1058,4.1,6,75.4,58,552,3,3,3,13.1,209
9,Nick Chubb,CLE,RB,16,254,1206,4.7,8,51.84,36,298,2,1,1,13,208.4
10,Joe Mixon,CIN,RB,16,259,1191,4.6,8,66.74,47,358,1,2,2,12.8,204.9
11,Todd Gurley II,LAR,RB,16,209,987,4.7,9,59.84,44,412,2,1,1,12.7,203.9
12,Derrick Henry,TEN,RB,16,242,1143,4.7,11,28.31,19,142,0,1,1,12,192.5
13,Leonard Fournette,JAX,RB,16,244,943,3.9,8,72.03,49,408,2,2,2,11.9,191.1
14,Aaron Jones,GB,RB,16,205,1015,5,8,51.68,38,299,2,1,1,11.8,189.4
15,Chris Carson,SEA,RB,16,241,1126,4.7,8,49.17,33,266,1,2,2,11.8,189.2
16,Josh Jacobs,LV,RB,16,229,997,4.4,7,64.8,45,353,2,2,2,11.6,185
17,Sony Michel,NE,RB,16,238,1072,4.5,10,19.18,14,118,1,2,2,11.3,181
18,Kerryon Johnson,DET,RB,16,203,960,4.7,6,68.34,51,374,2,2,2,11.1,177.4
19,Devonta Freeman,ATL,RB,16,201,890,4.4,7,58.05,43,354,2,1,1,11,176.4
20,Marlon Mack,IND,RB,16,232,1078,4.6,8,36.25,25,173,1,2,2,10.9,175.1
21,Mark Ingram II,BAL,RB,16,225,971,4.3,8,38.08,28,209,1,2,2,10.5,168
21,Damien Williams,KC,RB,16,138,736,5.3,7,69.12,48,364,3,1,1,10.5,168
23,David Montgomery,CHI,RB,16,209,860,4.1,8,45.5,35,302,1,2,2,10.4,166.2
24,Phillip Lindsay,DEN,RB,16,180,867,4.8,7,48.84,37,246,1,1,1,9.8,157.3
25,Melvin Gordon III,LAC,RB,16,159,731,4.6,6,54.76,37,346,2,1,1,9.6,153.7
26,Duke Johnson,HOU,RB,16,160,722,4.5,4,72.08,53,437,2,1,1,9.4,149.9
27,Tevin Coleman,SF,RB,16,180,790,4.4,5,42.88,32,283,2,1,1,9.2,147.3
28,Derrius Guice,WAS,RB,16,184,793,4.3,6,38.57,29,235,1,2,2,8.8,140.8
29,Austin Ekeler,LAC,RB,16,128,580,4.5,4,62.1,45,421,2,1,1,8.4,134.1
30,Kenyan Drake,MIA,RB,16,138,604,4.4,4,72.52,49,408,2,2,2,8.3,133.2
31,James White,NE,RB,16,66,279,4.2,3,104.4,72,631,4,1,1,8.2,131
32,Miles Sanders,PHI,RB,16,188,723,3.8,4,45.76,32,262,1,1,1,7.9,126.5
33,Matt Breida,SF,RB,16,147,643,4.4,4,43.09,31,269,1,1,1,7.4,119.2
34,Latavius Murray,NO,RB,16,174,661,3.8,5,26.6,20,138,1,1,1,7.1,113.9
34,Tarik Cohen,CHI,RB,16,76,314,4.1,2,79.46,58,545,3,1,1,7.1,113.9
36,Devin Singletary,BUF,RB,16,208,678,3.3,3,42.34,29,239,1,1,1,7.1,113.7
37,Peyton Barber,TB,RB,16,166,708,4.3,5,27,20,148,0,1,1,7.1,113.6
37,Rashaad Penny,SEA,RB,16,145,676,4.7,4,32.16,24,180,1,1,1,7.1,113.6
39,Kalen Ballage,MIA,RB,16,128,639,5,4,33.75,25,195,1,2,2,6.8,109.4
40,Royce Freeman,DEN,RB,16,167,604,3.6,5,29,20,128,1,1,1,6.7,107.2
41,LeSean McCoy,KC,RB,16,132,501,3.8,3,39.44,29,252,2,1,1,6.5,103.3
42,Jordan Howard,PHI,RB,16,143,625,4.4,5,19.18,14,111,0,1,1,6.4,101.6
43,Darrell Henderson Jr.,LAR,RB,16,132,556,4.2,3,29.04,22,196,1,1,1,6.1,97.2
44,Adrian Peterson,WAS,RB,16,135,531,3.9,4,19.5,15,137,0,1,1,5.6,88.8
45,CJ Anderson,DET,RB,16,111,533,4.8,3,26.79,19,130,1,1,1,5.5,88.3
46,Dion Lewis,TEN,RB,16,121,414,3.4,2,59.04,41,300,1,1,1,5.5,87.4
47,Jamaal Williams,GB,RB,16,112,425,3.8,3,30.59,23,182,1,1,1,5.2,82.7
48,Jalen Richard,LV,RB,16,58,284,4.9,2,67.62,46,372,1,1,1,5.1,81.6
49,Ito Smith,ATL,RB,16,105,413,3.9,3,32.2,23,168,1,1,1,5,80.1
50,Frank Gore,BUF,RB,16,114,553,4.9,2,21.44,16,127,0,1,1,4.9,78
51,Justin Jackson,LAC,RB,16,108,393,3.6,3,27.17,19,161,1,1,1,4.8,77.4
52,Ronald Jones II,TB,RB,16,126,462,3.7,3,22.72,16,115,0,1,1,4.6,73.7
53,Giovani Bernard,CIN,RB,16,73,265,3.6,2,49.58,37,287,1,0,0,4.6,73.2
54,Tony Pollard,DAL,RB,16,104,347,3.3,3,28.6,20,164,1,1,1,4.6,73.1
55,Jaylen Samuels,PIT,RB,16,69,298,4.3,1,43.56,33,250,2,1,1,4.4,70.8
56,Chris Thompson,WAS,RB,16,52,216,4.2,1,68.5,50,356,1,1,1,4.2,67.2
57,Kareem Hunt,CLE,RB,16,82,337,4.1,2,26.79,19,173,1,1,1,4.2,67
58,Nyheim Hines,IND,RB,16,72,285,4,1,48.6,36,282,1,1,1,4.2,66.7
59,Gus Edwards,BAL,RB,16,84,432,5.1,3,5.24,4,32,0,0,0,4,64.4
60,Alexander Mattison,MIN,RB,16,100,354,3.5,2,24.31,17,114,1,1,1,3.9,62.8
61,Justice Hill,BAL,RB,16,82,306,3.7,2,25.46,19,161,1,1,1,3.9,62.7
62,Ty Montgomery,NYJ,RB,16,75,280,3.7,2,32.16,24,186,1,1,1,3.9,62.6
63,Ryquell Armstead,JAX,RB,16,83,316,3.8,2,21.92,16,127,1,1,1,3.8,60.3
64,Carlos Hyde,HOU,RB,16,129,387,3,2,12.6,9,56,0,1,1,3.4,54.3
