Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
117,James Develin,NE,FB,16,8,21,2.6,0,17.28,12,83,1,0,0,1,16.4
117,Bobby Rainey,NYG,RB,16,5,65,13,1,2.74,2,59,0,1,1,1,16.4
117,Patrick DiMarco,ATL,FB,16,2,3,1.5,0,17.68,13,101,1,0,0,1,16.4
120,Kerwynn Williams,ARI,RB,16,10,79,7.9,1,1.36,1,19,0,0,0,1,15.8
121,Bruce Miller,SF,FB,16,5,18,3.6,0,18.9,14,137,0,0,0,1,15.5
122,Mack Brown,WAS,RB,16,22,81,3.7,1,6.7,5,32,0,1,1,1,15.3
123,Jonathan Williams,BUF,RB,16,15,59,3.9,1,4.2,3,19,0,0,0,0.9,13.8
124,Kendall Gaskins,SF,FB,16,23,91,4,0,9.17,7,46,0,0,0,0.9,13.7
125,Mike Davis,SF,RB,16,23,91,4,0,7.4,5,41,0,0,0,0.8,13.2
126,Jonathan Grimes,HOU,RB,16,15,75,5,0,8.16,6,52,0,0,0,0.8,12.7
127,Michael Burton,DET,FB,16,6,12,2,0,9.52,7,52,1,0,0,0.8,12.4
128,Knile Davis,KC,RB,16,5,85,17,0,2.84,2,38,0,0,0,0.8,12.3
129,Malcolm Brown,LAR,RB,16,17,77,4.5,0,8.52,6,45,0,0,0,0.8,12.2
130,Jonas Gray,JAX,RB,16,12.25,49,4.1,1,0,0,24,0,1,1,0.7,11.3
131,Danny Vitale,TB,FB,16,8,26,3.2,0,16.28,11,85,0,0,0,0.7,11.1
131,Kelvin Taylor,SF,RB,16,19,72,3.8,0,8.64,6,39,0,0,0,0.7,11.1
133,Malcolm Johnson,CLE,FB,16,0.25,1,0,0,0,0,108,0,0,0,0.7,10.9
134,Damien Williams,MIA,RB,16,3,59,19.7,0,5.76,4,44,0,0,0,0.6,10.3
135,Marcus Murphy,NO,RB,16,1,92,92,0,0,0,3,0,0,0,0.6,9.5
136,Donald Brown,NE,RB,16,14,64,4.6,0,4.29,3,28,0,0,0,0.6,9.2
137,Tommy Bohanon,NYJ,FB,16,4,8,2,0,9.31,7,82,0,0,0,0.6,9
138,Zac Stacy,NYJ,RB,16,18,64,3.6,0,4,3,25,0,0,0,0.6,8.9
139,Daniel Thomas,MIA,RB,16,8,54,6.8,0,4.44,3,32,0,0,0,0.5,8.6
140,Aaron Ripkowski,GB,FB,16,7,28,4,0,6.65,5,53,0,0,0,0.5,8.1
141,Juwan Thompson,DEN,RB,16,5,63,12.6,0,0,0,12,0,0,0,0.5,7.5
142,DuJuan Harris,SF,RB,16,10,42,4.2,0,4.14,3,31,0,0,0,0.5,7.3
142,Joe Banyard,JAX,RB,16,9,57,6.3,0,0,0,16,0,0,0,0.5,7.3
144,Kapri Bibbs,DEN,RB,16,12,52,4.3,0,2.66,2,18,0,0,0,0.4,7
145,Jerome Felton,BUF,FB,16,8,35,4.4,0,4.29,3,33,0,0,0,0.4,6.8
146,Rod Smith,DAL,RB,16,10,41,4.1,0,3.9,3,26,0,0,0,0.4,6.7
147,Travaris Cadet,NO,RB,16,2.25,9,4.5,0,1.41,1,57,0,0,0,0.4,6.6
148,Mike James,TB,RB,16,10,50,5,0,2.84,2,15,0,0,0,0.4,6.5
149,Rex Burkhead,CIN,RB,16,4,18,4.5,0,8.64,6,46,0,0,0,0.4,6.4
150,Dwayne Washington,DET,RB,16,9,35,3.9,0,4.35,3,24,0,0,0,0.4,5.9
151,Cedric Peerman,CIN,RB,16,8,38,4.8,0,4.14,3,19,0,0,0,0.4,5.7
152,Chase Reynolds,LAR,RB,16,7,26,3.7,0,4.17,3,28,0,0,0,0.3,5.4
153,Anthony Sherman,KC,FB,16,3,11,3.7,0,8.52,6,42,0,0,0,0.3,5.3
153,Jay Prosch,HOU,FB,16,8,40,5,0,1.34,1,13,0,0,0,0.3,5.3
155,Jhurell Pressley,GB,RB,16,10,23,2.3,0,7.45,5,29,0,0,0,0.3,5.2
156,Daryl Richardson,PIT,RB,16,7,25,3.6,0,4.05,3,22,0,0,0,0.3,4.7
157,Austin Johnson,NO,FB,16,4,15,3.8,0,7.35,5,31,0,0,0,0.3,4.6
158,Darrin Reaves,KC,RB,16,5,38,7.6,0,0,0,7,0,0,0,0.3,4.5
158,Joey Iosefa,NE,RB,16,7,45,6.4,0,0,0,0,0,0,0,0.3,4.5
158,George Atkinson,CLE,RB,16,9,49,5.4,0,1.49,1,16,0,1,1,0.3,4.5
161,D.J. Foster,NE,RB,16,2,8,4,0,5.64,4,33,0,0,0,0.3,4.1
162,Raheem Mostert,CLE,RB,16,7,25,3.6,0,2.72,2,15,0,0,0,0.2,4
163,Will Johnson,NYG,FB,16,4,21,5.2,0,2.82,2,14,0,0,0,0.2,3.5
163,Storm Johnson,TB,RB,16,5,20,4,0,2.88,2,15,0,0,0,0.2,3.5
165,John Kuhn,NO,FB,16,5,14,2.8,0,2.94,2,20,0,0,0,0.2,3.4
166,Akeem Hunt,HOU,RB,16,5,22,4.4,0,2.96,2,10,0,0,0,0.2,3.2
167,Kenny Hilliard,HOU,RB,16,1,30,30,0,0,0,0,0,0,0,0.2,3
168,Isaiah Pead,MIA,RB,16,6,17,2.8,0,1.42,1,12,0,0,0,0.2,2.9
169,Alex Collins,SEA,RB,16,5,21,4.2,0,1.37,1,7,0,0,0,0.2,2.8
170,Trent Richardson,BAL,RB,16,10,33,3.3,0,1,1,9,0,1,1,0.1,2.2
171,Glenn Winston,CLE,RB,16,2,9,4.5,0,1.32,1,8,0,0,0,0.1,1.7
172,Brandon Wegher,CAR,RB,16,6,15,2.5,0,0,0,0,0,0,0,0.1,1.5
173,George Winn,DET,RB,16,5,30,6,0,1.45,1,2,0,1,1,0.1,1.2
173,Daniel Lasco,NO,RB,16,2,6,3,0,2.72,2,6,0,0,0,0.1,1.2
175,Zac Brooks,SEA,RB,16,1,5,5,0,0,0,4,0,0,0,0.1,0.9
176,John Crockett,GB,RB,16,2,7,3.5,0,0,0,1,0,0,0,0,0.8
177,Tyler Varga,IND,RB,16,2,7,3.5,0,0,0,0,0,0,0,0,0.7
178,Trey Williams,IND,RB,16,0.25,1,0,0,0,0,1,0,0,0,0,0.2
179,Terrell Watson,CLE,RB,16,1,1,1,0,0,0,0,0,0,0,0,0.1
180,Marshawn Lynch,SEA,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
180,Darrel Young,CHI,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Antone Smith,NYJ,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
