Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,David Johnson,ARI,RB,16,286,1195,4.2,12,92.3,71,706,4,3,3,17.5,280.1
2,Le'Veon Bell,PIT,RB,16,289,1328,4.6,9,113.19,77,629,2,2,2,16.1,257.7
3,LeSean McCoy,BUF,RB,16,237,1145,4.8,9,61.2,45,347,2,1,1,13.3,213.2
4,Devonta Freeman,ATL,RB,16,220,970,4.4,9,72.9,54,465,3,2,2,13.2,211.5
5,Jordan Howard,CHI,RB,16,277,1288,4.6,7,45.21,33,288,1,2,2,12.6,201.6
6,Melvin Gordon III,LAC,RB,16,268,1091,4.1,8,66.6,45,379,2,3,3,12.6,201
7,Jay Ajayi,MIA,RB,16,268,1209,4.5,8,48.3,35,249,1,2,2,12.2,195.8
8,Todd Gurley II,LAR,RB,16,281,1080,3.8,8,55.76,41,315,1,1,1,12,191.5
9,DeMarco Murray,TEN,RB,16,247,1060,4.3,7,59.8,46,330,2,2,2,11.8,189
10,Isaiah Crowell,CLE,RB,16,223,970,4.3,7,54.39,37,298,1,2,2,10.7,170.8
11,Ezekiel Elliott,DAL,RB,16,208,995,4.8,7,37.24,28,249,1,1,1,10.6,170.4
12,Leonard Fournette,JAX,RB,16,242,1034,4.3,7,44.1,30,222,1,2,2,10.6,169.6
13,Lamar Miller,HOU,RB,16,254,1044,4.1,6,51.43,37,265,1,2,2,10.6,168.9
14,Dalvin Cook,MIN,RB,16,204,858,4.2,7,56.24,38,285,2,2,2,10.3,164.3
15,Kareem Hunt,KC,RB,16,213,899,4.2,7,50.76,36,284,1,2,2,10.1,162.3
16,Marshawn Lynch,LV,RB,16,198,830,4.2,8,38.92,28,203,1,1,1,9.7,155.3
17,Joe Mixon,CIN,RB,16,193,813,4.2,7,51.12,36,293,1,2,2,9.7,154.6
18,Ty Montgomery,GB,RB,16,167,776,4.6,5,62.98,47,374,2,2,2,9.6,153
19,Christian McCaffrey,CAR,RB,16,165,723,4.4,5,70,50,424,2,2,2,9.5,152.7
20,Carlos Hyde,SF,RB,16,228,981,4.3,6,39.2,28,185,1,5,5,9.3,148.6
21,Mark Ingram II,NO,RB,16,174,803,4.6,5,57.12,42,304,2,3,3,9.2,146.7
22,Bilal Powell,NYJ,RB,16,168,743,4.4,4,71.05,49,371,2,1,1,9.1,145.4
23,Ameer Abdullah,DET,RB,16,183,778,4.3,5,43.52,32,267,2,2,2,8.9,142.5
24,Frank Gore,IND,RB,16,205,783,3.8,5,40.2,30,222,2,2,2,8.7,138.5
25,Terrance West,BAL,RB,16,198,797,4,5,40.32,28,197,1,1,1,8.3,133.4
26,CJ Anderson,DEN,RB,16,189,788,4.2,5,39.48,28,223,1,2,2,8.3,133.1
27,Paul Perkins,NYG,RB,16,196,793,4,5,36.25,25,217,1,2,2,8.3,133
28,Tevin Coleman,ATL,RB,16,134,596,4.4,5,45.56,34,328,2,1,1,8.3,132.4
29,Mike Gillislee,NE,RB,16,165,756,4.6,7,17.42,13,103,0,1,1,7.9,125.9
30,Doug Martin,TB,RB,16,187,761,4.1,5,33.58,23,173,1,2,2,7.8,125.4
30,Rob Kelley,WAS,RB,16,182,760,4.2,6,22.35,15,114,1,2,2,7.8,125.4
32,Eddie Lacy,SEA,RB,16,160,692,4.3,5,25.46,19,153,1,1,1,7.4,118.5
33,Danny Woodhead,BAL,RB,16,88,364,4.1,2,82.8,60,476,3,1,1,7,112
34,Derrick Henry,TEN,RB,16,142,620,4.4,5,25.33,17,149,1,1,1,6.9,110.9
35,Adrian Peterson,NO,RB,16,147,613,4.2,6,27.3,21,148,1,4,4,6.9,110.1
36,Duke Johnson,CLE,RB,16,86,372,4.3,2,76.16,56,477,2,1,1,6.7,106.9
37,Jonathan Stewart,CAR,RB,16,164,671,4.1,5,15.29,11,83,1,3,3,6.6,105.4
38,Theo Riddick,DET,RB,16,69,266,3.9,2,93.24,63,494,3,1,1,6.5,104
39,LeGarrette Blount,PHI,RB,16,156,613,3.9,6,11.12,8,54,0,2,2,6.2,98.7
40,Darren Sproles,PHI,RB,16,85,376,4.4,2,67.68,47,363,2,1,1,6,95.9
41,Matt Forte,NYJ,RB,16,132,518,3.9,3,42.05,29,225,1,2,2,5.9,94.3
42,James White,NE,RB,16,53,223,4.2,2,71.05,49,414,3,1,1,5.7,91.7
43,Darren McFadden,DAL,RB,16,124,541,4.4,4,28.4,20,164,0,2,2,5.7,90.5
44,Giovani Bernard,CIN,RB,16,96,401,4.2,2,49.58,37,316,1,2,2,5.4,85.7
45,Thomas Rawls,SEA,RB,16,125,530,4.2,4,15.72,12,89,0,1,1,5.2,83.9
46,C.J. Prosise,SEA,RB,16,67,314,4.7,2,48.47,37,343,1,1,1,5.1,81.7
47,Jeremy Hill,CIN,RB,16,115,450,3.9,5,14.3,11,86,0,1,1,5.1,81.6
48,Chris Thompson,WAS,RB,16,57,269,4.7,2,61.65,45,338,2,2,2,5,80.7
49,Jamaal Williams,GB,RB,16,114,493,4.3,4,15.96,12,94,0,2,2,4.9,78.7
50,Shane Vereen,NYG,RB,16,66,281,4.3,2,51.68,38,311,2,3,3,4.8,77.2
50,Rex Burkhead,NE,RB,16,94,411,4.4,3,28.8,20,161,1,2,2,4.8,77.2
52,Jamaal Charles,DEN,RB,16,88,392,4.5,3,37,25,194,1,4,4,4.7,74.6
53,Latavius Murray,MIN,RB,16,107,413,3.9,4,21.28,16,116,0,2,2,4.6,72.9
54,Charles Sims,TB,RB,16,73,289,4,1,50.05,35,299,2,2,2,4.6,72.8
55,Charcandrick West,KC,RB,16,88,357,4.1,3,26.64,18,140,1,1,1,4.5,71.7
56,Samaje Perine,WAS,RB,16,110,456,4.1,3,18.62,14,114,0,2,2,4.4,71
57,Jacquizz Rodgers,TB,RB,16,100,426,4.3,3,20.85,15,109,0,1,1,4.3,69.5
58,Dion Lewis,NE,RB,16,75,335,4.5,2,38.88,27,209,1,3,3,4.2,66.4
59,Alvin Kamara,NO,RB,16,56,240,4.3,2,47.16,36,283,1,2,2,4.1,66.3
60,DeAndre Washington,LV,RB,16,91,424,4.7,2,28.14,21,152,0,2,2,4.1,65.6
61,Robert Turbin,IND,RB,16,72,275,3.8,3,29.04,22,156,1,1,1,4.1,65.1
62,Jalen Richard,LV,RB,16,64,298,4.7,2,35.28,24,180,1,1,1,4,63.8
63,Wendell Smallwood,PHI,RB,16,87,370,4.3,2,20.86,14,100,1,2,2,3.8,61
64,D'Onta Foreman,HOU,RB,16,88,350,4,3,14.96,11,76,0,1,1,3.7,58.6
65,Marlon Mack,IND,RB,16,61,247,4,2,27.55,19,147,1,1,1,3.5,55.4
66,T.J. Yeldon,JAX,RB,16,65,248,3.8,1,44.4,30,212,1,2,2,3.4,54
67,Devontae Booker,DEN,RB,16,74,289,3.9,2,23.04,16,127,1,3,3,3.4,53.6
68,Tarik Cohen,CHI,RB,16,62,275,4.4,2,23.29,17,140,0,1,1,3.2,51.5
69,Jonathan Williams,DEN,RB,16,77,336,4.4,3,15.4,11,74,0,4,4,3.2,51
70,Matt Breida,SF,RB,16,76,314,4.1,2,19.46,14,107,0,2,2,3.1,50.1
71,Branden Oliver,LAC,RB,16,68,262,3.9,2,23.2,16,129,0,1,1,3.1,49.1
72,Zach Zenner,DET,RB,16,51,201,3.9,3,14.9,10,83,0,0,0,2.9,46.4
73,Jerick McKinnon,MIN,RB,16,51,201,3.9,1,32.78,22,152,1,1,1,2.8,45.3
74,James Conner,PIT,RB,16,65,269,4.1,2,14.8,10,73,0,1,1,2.8,44.2
75,Damien Williams,MIA,RB,16,47,178,3.8,1,23.04,16,145,1,1,1,2.6,42.3
76,Kerwynn Williams,ARI,RB,16,56,266,4.8,2,12.24,9,73,0,2,2,2.6,41.9
77,Alfred Morris,DAL,RB,16,63,259,4.1,2,9.38,7,48,0,1,1,2.5,40.7
78,Orleans Darkwa,NYG,RB,16,55,211,3.8,2,14.4,10,67,0,2,2,2.2,35.8
79,Kenyan Drake,MIA,RB,16,48,208,4.3,1,19.24,13,94,0,1,1,2.1,34.2
80,Kyle Juszczyk,SF,FB,16,11,42,3.8,0,42.47,31,237,1,0,0,2.1,33.9
81,Aaron Ripkowski,GB,FB,16,27,130,4.8,2,11.97,9,65,1,2,2,2.1,33.5
82,Elijah Hood,LV,RB,16,48,209,4.4,2,8.7,6,45,0,2,2,2.1,33.4
83,Mike Tolbert,BUF,FB,16,35,143,4.1,1,14.9,10,69,1,0,0,2.1,33.2
84,Javorius Allen,BAL,RB,16,51,198,3.9,1,16.56,12,88,0,1,1,2,32.6
85,Elijah McGuire,NYJ,RB,16,53,215,4.1,1,15.95,11,88,0,2,2,2,32.3
86,Chris Ivory,JAX,RB,16,53,215,4.1,2,12.87,9,67,0,4,4,2,32.2
87,Donnel Pumphrey,PHI,RB,16,45,184,4.1,1,16.32,12,92,0,1,1,2,31.6
88,Cordarrelle Patterson,LV,RB,16,7,55,7.9,0,27.54,18,186,1,0,0,1.9,30.1
89,Chris Carson,SEA,RB,16,36,150,4.2,1,17.88,12,100,0,1,1,1.8,29
90,De'Angelo Henderson,DEN,RB,16,39,166,4.3,1,8.04,6,54,0,0,0,1.8,28
91,Alfred Blue,HOU,RB,16,45,180,4,1,10.8,8,53,0,1,1,1.7,27.3
92,Jeremy Langford,BAL,RB,16,37,147,4,1,11.12,8,60,0,0,0,1.7,26.7
93,Malcolm Brown,LAR,RB,16,43,165,3.8,1,9.94,7,55,0,1,1,1.6,26
93,Wayne Gallman II,NYG,RB,16,44,174,4,1,12.96,9,66,0,2,2,1.6,26
95,Lance Dunbar,LAR,RB,16,25,98,3.9,1,19.74,14,111,0,1,1,1.6,24.9
96,Aaron Jones,GB,RB,16,31,132,4.3,1,9.52,7,51,0,0,0,1.5,24.3
97,Jeremy McNichols,SF,RB,16,35,140,4,1,7.25,5,35,0,0,0,1.5,23.5
98,John Kuhn,NO,FB,16,11,31,2.8,2,16.17,11,66,0,0,0,1.4,21.7
99,Fitzgerald Toussaint,PIT,RB,16,26,108,4.2,1,8.64,6,41,0,0,0,1.3,20.9
100,Andre Ellington,ARI,RB,16,24,97,4,0,15.84,12,102,0,0,0,1.2,19.9
101,Raheem Mostert,SF,RB,16,31,131,4.2,1,8.16,6,41,0,2,2,1.2,19.2
102,Benjamin Cunningham,CHI,RB,16,23,96,4.2,0,12.06,9,74,0,0,0,1.1,17
103,Brian Hill,ATL,RB,16,21,86,4.1,1,3.9,3,22,0,0,0,1,16.8
104,Kenneth Farrow,LAC,RB,16,19,66,3.5,1,7.05,5,30,0,0,0,1,15.6
105,Andy Janovich,DEN,FB,16,5,32,6.4,1,10.43,7,58,0,0,0,0.9,15
106,Fozzy Whittaker,CAR,RB,16,21,89,4.2,0,10.36,7,53,0,0,0,0.9,14.2
106,Cameron Artis-Payne,CAR,RB,16,17,70,4.1,1,1.39,1,12,0,0,0,0.9,14.2
108,Tyler Ervin,HOU,RB,16,8,37,4.6,0,13.14,9,69,0,0,0,0.7,10.6
109,Jamize Olawale,LV,FB,16,10,38,3.8,0,8.82,6,62,0,0,0,0.6,10
110,Dwayne Washington,DET,RB,16,19,72,3.8,0,4.35,3,20,0,0,0,0.6,9.2
111,Terron Ward,ATL,RB,16,16,63,3.9,0,4.17,3,24,0,0,0,0.5,8.7
112,Senorise Perry,MIA,RB,16,8,36,4.5,0,8.88,6,42,0,0,0,0.5,7.8
113,Joe Banyard,BUF,RB,16,13,40,3.1,0,6.95,5,36,0,0,0,0.5,7.6
114,Alex Collins,BAL,RB,16,16,63,3.9,0,4.11,3,29,0,1,1,0.4,7.2
115,D.J. Foster,NE,RB,16,12,46,3.8,0,4.23,3,19,0,0,0,0.4,6.5
116,Austin Johnson,TB,FB,16,8,34,4.2,0,5.88,4,30,0,0,0,0.4,6.4
117,Terrell Watson,PIT,RB,16,9,38,4.2,0,2.76,2,17,0,0,0,0.3,5.5
118,Mack Brown,WAS,RB,16,9,40,4.4,0,2.68,2,14,0,0,0,0.3,5.4
